id: 578742196746207232, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742203985473537, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742210058813440, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742212508397568, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742217617076224, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742222587195392, text: RT @BBCNews: Prince Charles meets Barack Obama http://t.co/rPaRkgqle2 http://t.co/gGOyEuJyG1
id: 578742238500544513, text: Obama urges 'historic' Iran deal: US President Barack Obama tells the Iranian people a\u2026 http://t.co/48YBufPs2J #BBC
id: 578742245697794049, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742254367416320, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742255042760704, text: #Obama Obama urges Iran to seize rare chance to improve ties: US President Barack Obama urged the people and l... http://t.co/QChpp8WL3K
id: 578742261724278784, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742264501022720, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742272403058690, text: \u201c@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/54lzWBB4sK\u201d @racheldeglau
id: 578742277171998720, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742279872991233, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742281773006848, text: RT @PhxKen: \"ONE DAY WE WILL REALIZE THAT THE BARACK OBAMA PRESIDENCY WAS THE BIGGEST FRAUD EVER PERPETRATED ON THE AMERICAN..... http://t.\u2026
id: 578742285237620737, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742287548612608, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742293835968512, text: \"@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/OJ7qbxb41k\" seems legit
id: 578742297615065088, text: @WhxEiko Se o barack obama fica sabendo....
